Codigo,E. coli,Cloro Residual Livre(mg/L),Turbidez(uT)
C431342000018,Ausente,0,0.6
S430960000001,Ausente,1.58,0.2
C431342000017,Presente,0,0.1
C430960000011,Ausente,0,0.3
C430960000035,Ausente,0,0.1
C430960000026,Ausente,0,0.2
C431930000024,Ausente,0,0.4
C431930000038,Ausente,0.06,0.4
C431930000025,Ausente,0,0.3
C431930000042,Ausente,0,0.1
C431930000039,Ausente,0.11,0.2
C431930000004,Ausente,0,0.2
C431930000005,Ausente,0,0.1
C431930000019,Ausente,0,0.2
C431930000010,Ausente,0,0.2
C431930000003,Ausente,0,0.4
C431930000008,Ausente,0,0.2
C432032000021,Ausente,0,0.3
C432032000023,Ausente,0,0.1
C432032000016,Ausente,0,0.1
C432032000022,Ausente,0,0.2
C432032000024,Ausente,0,0.4
C432032000018,Presente,0,0.2
C432032000020,Ausente,0,0.2
C431849000010,Ausente,0,0.5
C431849000008,Ausente,0,0.1
C431849000003,Ausente,0.3,0.2
S431849000001,Ausente,0.34,0.4
C431849000014,Ausente,0.29,0.3
C431849000012,Ausente,0.24,0.1
C431720000022,Ausente,0,0.3
C431720000010,Ausente,0,0.1
I431720000003,Ausente,0,0.2
C431720000010,Ausente,0,0.1
C431720000020,Presente,0,0.4
C431720000022,Ausente,0,0.6
I431720000003,Ausente,0,0.1
C431720000022,Ausente,0,0.1
C431720000032,Ausente,0,0.1
C431720000016,Ausente,0,0.1
I431720000003,Presente,0,0.3
S430673000001,Ausente,0,1.4
C430673000024,Presente,0,0.1
C430673000017,Ausente,0,0.1
C430673000007,Ausente,0,0.3
S430673000001,Presente,0,0.1
S430673000001,Ausente,0,0.8
C430673000005,Ausente,0,0.1
C430673000015,Presente,0,0.7
C430673000023,Presente,0,0.1
C432180000025,Ausente,0,0.1
S432180000001,Ausente,1.59,0.3
S432180000001,Ausente,1.51,0.8
C432180000025,Ausente,0,0.1
S432180000001,Ausente,1.32,0.4
C432180000018,Presente,0,0.1
S432180000001,Ausente,0.8,0.1
C432180000024,Presente,0,0.3
S430430000001,Ausente,1.9,0.2
S430430000001,Ausente,1.9,0.3
C430430000005,Ausente,0.5,0.5
S430430000001,Ausente,1.9,0.2
C430430000019,Ausente,0,0.3
C430430000032,Ausente,0,0.1
C430430000012,Ausente,0,0.2
C430430000007,Ausente,0,0.2
C430430000017,Presente,0,0.4
C431720000026,Ausente,0,0.4
C431720000027,Ausente,0,0.1
C431720000021,Ausente,0,0.1
C431720000033,Ausente,0.29,0.2
C431720000014,Ausente,0,0.2
C431720000029,Ausente,0,0.5
C430900000074,Presente,0.34,0.2
S432180000001,Ausente,0,0.2
S432180000001,Ausente,1.73,0.1
C432180000008,Ausente,0,0.4
C432180000033,Presente,0,0.1
C432180000006,Presente,0,0.2
C431720000006,Ausente,0,0.1
C431720000012,Ausente,0,0.1
C431720000009,Ausente,0,0.2
C431720000013,Ausente,0,0.7
C431720000019,Ausente,0,0.5
C431720000008,Ausente,0,0.3
C431720000020,Ausente,0,0.1
C431720000023,Ausente,0,0.1
C430045000012,Ausente,0,6.8
S432210000001,Ausente,1.76,0.4
S432210000001,Ausente,1.37,0.2
S432210000001,Ausente,1.87,0.3
C432210000013,Ausente,0,0.4
S432210000001,Ausente,1.79,0.2
I432210000003,Ausente,0,0.1
C432210000012,Ausente,0,0.6
S432180000001,Ausente,2.65,0.1
S432180000001,Ausente,1.01,0.2
S430030000001,Ausente,0.48,0.1
C431930000017,Ausente,0,0.2
C431930000029,Presente,0,0.4
C431930000028,Ausente,0,0.1
C431930000034,Ausente,0,1
C431930000013,Presente,0,0.1
C431930000001,Presente,0,0.2
C431930000030,Ausente,0,0.1
C431930000033,Presente,0,0.3
C431930000040,Ausente,0.07,0.2
C430220000001,Ausente,0,0.1
C431720000025,Ausente,0,0.1
C431342000010,Presente,0,0.1
C431342000004,Ausente,0,0.2
C431342000016,Ausente,0,0.8
C431342000023,Ausente,0,0.3
C431342000013,Ausente,0,0.2
C431342000005,Presente,0,0.1
C430900000001,Presente,0,0.4
C430900000069,Presente,1.21,0.1
C431507000007,Ausente,0.23,0.2
