Codigo,E. coli,Cloro Residual Livre(mg/L),Turbidez(uT)
C431500000039,Ausente,0,1.7
C431500000039,Ausente,0,4.5
C431500000019,Ausente,0,0.2
C431500000039,Ausente,0,2.6
C431500000024,Ausente,0,0.7
C431500000034,Ausente,0,0.7
C431500000031,Presente,0,0.6
C431500000035,Presente,0,0.3
C431500000015,Presente,0,7.1
C431500000030,Ausente,0,0.3
C431500000026,Ausente,0,0.2
C431500000017,Não realizada,0,0.2
C431500000033,Ausente,0,0.6
C431500000020,Ausente,0,0.6
C431500000016,Ausente,0,0.2
C430370000016,Ausente,0,0.3
C430370000024,Ausente,0,0.3
C430370000001,Ausente,0,0.6
C430370000023,Presente,0,0.7
C430370000010,Ausente,0,0.2
C430370000034,Presente,0,0.3
S430370000001,Ausente,2.23,1.3
S430370000001,Ausente,0.12,0.9
S430370000001,Ausente,0.17,0.8
C431342000007,Ausente,0,0.2
C431342000016,Ausente,0,0.5
C431342000009,Presente,0,0.2
C431342000028,Presente,0,0.3
C431342000026,Ausente,0,0.2
C431342000023,Ausente,0,0.8
C431342000008,Ausente,0,0.4
C431342000003,Ausente,0,0.6
C431342000024,Ausente,0,0.6
C431342000025,Ausente,0,0.5
C431342000011,Presente,0,0.5
C431342000022,Ausente,0,0.2
C431790000016,Ausente,0,0.2
C431790000019,Ausente,0,0.2
C431790000004,Ausente,0,0.1
C431790000030,Ausente,0,0.2
S431790000001,Ausente,0.52,0.2
S432230000001,Ausente,2.2,0.1
S432230000001,Ausente,0.25,0.2
S432230000001,Ausente,0.2,0.4
S432230000001,Ausente,0.18,0.6
S432230000001,Ausente,0.32,0.1
S432230000001,Ausente,0.14,0.2
S432230000001,Ausente,0.09,0.2
C432230000003,Ausente,0,0.2
S432230000001,Ausente,2.2,0.5
C432230000013,Ausente,0,0.8
C432230000029,Ausente,0,0.2
C432230000012,Ausente,0,0.7
C432230000009,Ausente,0,0.2
C432230000016,Ausente,0,0.4
C432230000019,Ausente,0,0.2
C432230000014,Ausente,0,0.2
C432230000004,Ausente,0,0.4
C432230000002,Ausente,0,0.2
C432230000025,Ausente,0,0.5
C432230000020,Ausente,0,0.2
C432230000008,Presente,0,0.5
C432230000005,Ausente,0,0.2
C432230000017,Presente,0,0.5
C432230000018,Ausente,0,0.4
C432230000006,Ausente,0,0.6
C432230000010,Ausente,0,0.2
C432032000018,Ausente,0,0.3
C432032000021,Ausente,0,0.3
C432032000024,Ausente,0,0.3
C432032000003,Presente,0,0.3
C432032000020,Ausente,0,0.2
C432032000023,Ausente,0,0.3
S430430000001,Ausente,1.6,0.4
S430430000001,Ausente,1.6,0.3
S430430000001,Ausente,1.6,0.2
C430430000013,Ausente,0.45,0.8
C430430000026,Ausente,0.6,0.8
S430430000001,Ausente,1.6,0.2
C430430000001,Ausente,0.35,0.7
C430430000014,Ausente,0.45,3.8
C430430000027,Ausente,0.65,0.4
C430430000002,Ausente,0.5,0.3
S430430000001,Ausente,1.6,0.5
C430430000009,Ausente,0.5,0.4
C430430000005,Ausente,0.45,0.2
C430430000006,Ausente,0.5,3
C430430000008,Ausente,0.4,0.2
C430430000011,Ausente,0.6,0.4
C430430000012,Ausente,0.5,0.3
C430430000019,Presente,0.5,0.2
C431930000003,Ausente,0.07,0.6
C431930000046,Ausente,0.21,0.4
C431930000024,Ausente,0.22,0.5
C431930000008,Ausente,0.2,0.6
C431930000025,Ausente,0.09,0.8
C431930000026,Ausente,0.23,0.7
C431930000042,Ausente,0.08,0.5
C431930000019,Ausente,0.08,0.6
C431930000004,Ausente,0.1,0.3
C431930000005,Ausente,0.11,0.4
C431930000010,Ausente,0.21,0.4
C431930000027,Ausente,0.27,0.6
C430960000030,Ausente,0,0.1
C430960000007,Presente,0,0.8
C430960000010,Presente,0,0.3
C430960000018,Ausente,0,0.6
C430960000017,Ausente,0,0.2
C430960000033,Ausente,0,0.2
S430960000001,Ausente,1.3,0.9
S430960000001,Ausente,1.48,0.4
C432180000034,Ausente,0,0.1
C432180000031,Ausente,0,0.2
C432180000014,Ausente,0,0.2
C432180000022,Ausente,0,0.2
C432180000041,Ausente,0,0.2
C432180000006,Ausente,0,0.4
C432180000027,Presente,0,0.4
C432180000003,Ausente,0,0.1
C432180000008,Ausente,0,0.2
C432180000042,Ausente,0,13.2
C432180000045,Ausente,0,0.8
C432180000046,Ausente,0,0.6
C432180000029,Ausente,0,0.2
C432180000040,Ausente,0,0.6
C432180000030,Ausente,0,0.2
C432180000025,Presente,0,0.2
C432180000035,Ausente,0,0.2
C432180000006,Ausente,0,0.3
C432180000009,Ausente,0,0.6
C431500000039,Presente,0,5.4
C431500000009,Presente,0,0.7
C431500000039,Presente,0,9
C431500000022,Ausente,0,0.6
C431500000023,Presente,0,3
C431500000023,Presente,0,3.2
C431500000022,Presente,0,0.4
C431500000039,Ausente,0,3.5
C431500000039,Ausente,0,1.5
C431500000039,Ausente,0,17.3
C431500000039,Ausente,0,7.7
C431500000010,Presente,0,7.3
C431500000012,Presente,0,5.1
C431500000024,Presente,0,0.3
C431500000039,Ausente,0,5.5
C431500000039,Ausente,0,4.3
C431500000039,Presente,0,3
C431500000029,Ausente,0,0.2
C431500000039,Presente,0,3
C431500000023,Ausente,0,3.4
C431500000027,Ausente,0,0.3
C431500000042,Presente,0,0.3
C431500000004,Presente,0,0.9
C430673000008,Ausente,0.01,0.1
C430673000013,Ausente,0.37,0.4
C430673000010,Ausente,0.2,0.2
C430673000024,Ausente,0.12,0.1
C430673000012,Ausente,0.01,0.1
C430673000003,Ausente,2.64,0.1
I430673000036,Presente,0,1.6
C430673000017,Ausente,0.49,0.1
S431720000001,Ausente,1.04,7.8
C431720000036,Ausente,0,0.2
S431720000001,Ausente,0.82,0.6
C431720000039,Ausente,0,0.2
S431720000001,Ausente,0.81,0.2
C431720000041,Ausente,0.64,0.2
C431720000039,Ausente,0.03,0.2
S431720000001,Ausente,0.68,0.4
C431720000039,Ausente,0,0.2
S431720000001,Ausente,0.9,0.2
S431720000001,Ausente,1.02,0.4
S431720000001,Ausente,0.86,0.4
S431720000001,Ausente,0.86,0.7
S431720000001,Ausente,0.86,0.8
C431720000036,Ausente,0.06,0.1
S431720000001,Ausente,1.01,0.5
S431720000001,Ausente,0.92,0.3
S431720000001,Ausente,1.08,0.3
C431720000039,Ausente,0.06,3.1
C431720000043,Ausente,0.08,0.2
C431720000042,Ausente,0.09,6.5
C431720000004,Ausente,0,0.4
C431720000035,Ausente,0,0.2
C431720000031,Ausente,0.48,1.6
C431720000045,Ausente,0.17,0.6
C431720000031,Ausente,0.69,0.3
C431720000044,Ausente,0.04,0.3
C431720000001,Ausente,0,0.2
C431720000017,Presente,0,0.5
C431720000007,Ausente,0.06,0.1
I431720000006,Ausente,0,0.4
C431720000024,Ausente,0,0.4
C431720000018,Ausente,0.07,0.7
S431720000001,Ausente,0.74,0.2
C431720000011,Ausente,0,0.3
C431720000030,Ausente,0,0.4
C431720000015,Ausente,0,0.2
C431720000031,Ausente,0.37,0.1
C431720000046,Ausente,1.58,0.1
C431720000033,Ausente,0.11,0.2
C431720000013,Ausente,0,0.6
S430430000001,Ausente,1.05,1
C430430000023,Ausente,0.4,0.8
C430430000025,Ausente,0.4,0.5
S430430000001,Ausente,0.95,0.7
C430430000024,Ausente,0.4,Não realizada
C430430000018,Ausente,0.7,0.6
C430430000021,Ausente,0.15,0.8
C430430000004,Ausente,0.4,0.6
C430430000017,Ausente,0.7,1
S430900000001,Ausente,1.05,0.3
S430900000001,Ausente,1.08,0.8
C430900000046,Ausente,0,0.4
C430900000012,Ausente,0,0.1
I430900000015,Ausente,0,0.2
S430900000001,Ausente,1.35,0.2
C430900000010,Ausente,0.68,0.2
C430900000034,Ausente,0,0.6
C430900000008,Ausente,0,0.2
C430900000004,Ausente,0,0.2
S430900000001,Ausente,0.88,0.2
C430900000012,Presente,0,0.9
C430900000012,Presente,0,1.6
S430900000001,Ausente,1.15,1
S430900000001,Ausente,2.57,0.3
C431849000012,Presente,0.32,0.3
C431849000007,Presente,0.3,0.4
C431849000001,Ausente,0.46,0.3
C431849000013,Ausente,0.61,0.2
C431849000004,Ausente,0.74,0.6
S431849000001,Ausente,0.75,0.8
S430370000001,Ausente,0.54,0.8
S430370000001,Ausente,0,0.3
S430370000001,Ausente,0,0.3
C430370000037,Ausente,0,0.6
C430370000028,Ausente,0,0.2
S430370000001,Ausente,0.86,0.2
C430370000014,Presente,0,0.6
C430370000011,Ausente,0,0.3
C430370000009,Ausente,0,1.7
C430370000039,Presente,0,2.8
S430370000001,Presente,0,0.3
S430370000001,Ausente,0.92,0.9
C430370000030,Ausente,0,0.6
I430370000032,Ausente,0,0.6
C430370000014,Presente,0,0.4
C430370000008,Presente,0,0.1
C430370000026,Ausente,0,0.2
S430370000001,Ausente,0.45,0.2
C430370000002,Ausente,0,0.2
C430370000039,Ausente,0,0.1
C430370000032,Ausente,0,0.2
C430370000033,Ausente,0,0.4
C430370000004,Presente,0,Não realizada
C430370000036,Ausente,0,0.4
S430370000001,Ausente,0.7,0.3
C430370000007,Ausente,0,0.3
S430370000001,Ausente,0.55,0.7
C430370000029,Ausente,0,0.3
C430673000006,Ausente,0,0.4
S430673000001,Ausente,0,0.2
C430673000028,Presente,0,0.2
C430673000009,Presente,0,0.1
I430673000126,Ausente,0,0.6
S430673000001,Ausente,0,0.5
I430673000125,Ausente,0,0.2
C430673000016,Ausente,0,0.2
S432210000001,Ausente,1.39,0.2
C432210000023,Ausente,0,1.1
S432210000001,Ausente,1.44,1.6
S432210000001,Ausente,1.93,1.3
S432210000001,Ausente,2,0.3
C432210000015,Ausente,0.73,1.1
C432210000017,Presente,0,0.3
C432210000022,Presente,0,0.8
S432210000001,Ausente,1.38,1.3
S432210000001,Ausente,1.47,1.3
S432210000001,Ausente,1.44,1.5
I432210000008,Presente,0,1.1
C431505000005,Ausente,0,0.2
C431505000013,Ausente,0,1.6
C431505000012,Presente,0,0.8
C431505000010,Ausente,0,0.5
C431505000008,Ausente,0,0.9
C431505000001,Ausente,0,0.2
C431505000006,Ausente,0,1.6
C432180000003,Ausente,0,0.1
C432180000014,Ausente,0,0.2
C432180000021,Ausente,0,0.2
C432180000027,Ausente,0,0.4
C432180000035,Ausente,0,0.2
S432180000001,Ausente,0,0.2
C432180000038,Ausente,0,0.5
C432180000037,Ausente,0,0.2
C432180000028,Presente,0,0.4
S432180000001,Ausente,0,0.6
C431500000003,Ausente,0,0.2
S431500000001,Presente,2,0.3
S431500000001,Ausente,0.77,0.2
S431500000001,Ausente,0.59,0.3
S431500000001,Ausente,0.56,0.4
C431500000037,Ausente,0,0.4
S431500000001,Ausente,0.63,0.3
C431500000012,Ausente,0,6.1
S431500000001,Ausente,0.86,0.2
S431500000001,Ausente,2.2,0.3
C432230000001,Ausente,0,0.2
C432230000015,Ausente,0,0.5
C432230000028,Presente,0,9.8
C431720000014,Ausente,0,0.2
C432230000023,Ausente,0,0.2
C431720000033,Ausente,0,0.6
C431720000029,Ausente,0.53,0.3
C432230000024,Ausente,0,0.2
C431720000026,Ausente,0,0.2
S431720000001,Ausente,0.6,0.2
C432230000027,Ausente,0,0.3
C431720000021,Ausente,0,0.2
C432230000021,Presente,0,0.2
C432230000011,Ausente,0,0.2
C432230000026,Ausente,0,0.3
C432230000015,Ausente,0,0.6
S432230000001,Ausente,2.2,0.2
S432230000001,Ausente,0.48,0.1
C432230000003,Ausente,0,0.1
C432230000021,Presente,0,0.2
S432230000001,Ausente,0.98,0.2
S432230000001,Ausente,2.2,0.5
C432230000023,Ausente,0,0.4
C432230000024,Presente,0,0.8
C432230000028,Ausente,0,0.4
C432230000022,Ausente,0,0.2
C432230000001,Ausente,0,0.2
S432230000001,Ausente,0.35,0.5
S432230000001,Ausente,0.43,0.1
S432230000001,Ausente,0.84,0.6
S432230000001,Ausente,0.28,0.4
C430030000006,Ausente,0,0.3
C430030000002,Ausente,0,0.2
S430030000001,Ausente,0,0.5
C430030000008,Ausente,0,0.4
S430030000001,Ausente,0,5
S430030000001,Ausente,0,0.3
S430030000001,Ausente,0,0.3
C430030000023,Presente,0,0.6
S430030000001,Ausente,0.33,0.4
S430030000001,Ausente,0.37,0.4
S430030000001,Ausente,1.09,0.6
S430030000001,Ausente,1.08,0.4
S430030000001,Ausente,0.76,0.7
S430030000001,Ausente,1.16,0.8
S430030000001,Ausente,0.13,0.2
S430030000001,Ausente,1.07,0.6
S430030000001,Ausente,0.79,0.7
S430030000001,Ausente,0.62,0.2
C431930000020,Ausente,0.14,0.5
C431930000021,Ausente,0.03,0.6
C431930000035,Ausente,0.01,0.8
C431930000045,Ausente,0.49,0.2
C431930000031,Ausente,0.52,0.3
C431930000022,Ausente,0.01,0.9
C431930000006,Ausente,0.25,0.3
C431930000043,Ausente,0.34,0.4
C431930000009,Ausente,0.04,1.3
C431930000015,Ausente,0.06,0.2
C431930000014,Ausente,0.12,0.5
C431930000044,Ausente,0.15,0.3
C431040000006,Ausente,0,0.4
C431040000005,Ausente,0,0.5
C431505000007,Presente,0,0.6
C431790000020,Ausente,0,0.6
S431790000001,Ausente,0.88,0.1
S431790000001,Ausente,0.76,0.2
C431790000006,Ausente,0,0.4
I431790000024,Presente,0,0.8
C431790000028,Ausente,0,0.7
C431790000033,Ausente,0,0.2
C431790000029,Ausente,0,0.2
C431790000005,Ausente,0,0.2
S431790000001,Ausente,0.52,0.2
C431790000035,Ausente,0,0.2
S431790000001,Ausente,0.58,0.2
C431790000031,Ausente,0,0.2
C431790000015,Presente,0,0.2
C431790000037,Presente,0,5.2
C431790000007,Ausente,0,0.4
C431790000018,Ausente,0,0.1
C431790000027,Ausente,0,0.2
C431790000023,Ausente,0,0.2
C431790000025,Ausente,0,0.3
C431790000014,Ausente,0,0.4
S431790000001,Ausente,0.62,0.2
C431790000024,Ausente,0,0.3
C431790000013,Ausente,0,0.2
C431790000031,Ausente,0,0.1
C431790000017,Ausente,0,0.2
C431790000021,Ausente,0,0.5
C431790000011,Ausente,0,0.6
C431790000010,Ausente,0,0.2
I431790000025,Presente,0,2.5
S431790000001,Ausente,1.07,0.2
C431790000008,Ausente,0,0.1
C431790000001,Ausente,0,0.3
C431790000038,Ausente,0,0.2
C431790000036,Presente,0,1.4
C431790000003,Ausente,0,0.4
C431790000002,Ausente,0,0.2
S431790000001,Ausente,0.95,0.2
S431790000001,Ausente,0.98,0.2
S431790000001,Ausente,0.67,0.2
C431790000023,Ausente,0,0.8
C431790000026,Ausente,0,0.6
S431790000001,Ausente,0.64,0.2
C431790000009,Presente,0,1.8
C431790000001,Presente,0,1.8
C431790000022,Presente,0,0.2
S431790000001,Ausente,0.52,0.4
S431790000001,Ausente,0.42,0.6
S431790000001,Ausente,0.36,0.2
S430960000001,Ausente,1.33,0.2
S430960000001,Ausente,1.22,0.3
C430960000025,Ausente,0,0.2
S430960000001,Ausente,1.61,0.2
C430960000026,Ausente,0,0.3
C430960000029,Ausente,0,0.2
C430960000021,Presente,0,0.3
C430960000022,Ausente,0,0.2
C430960000014,Ausente,0,0.2
S430960000001,Ausente,0.89,0.2
C432032000007,Ausente,0,0.2
C432032000009,Ausente,0,0.1
C432032000005,Ausente,0,0.2
C432032000006,Ausente,0,0.5
C432032000010,Presente,0,0.2
C432032000011,Ausente,0,0.1
C431040000025,Presente,0,0.6
C431040000004,Ausente,0,0.6
C431040000015,Ausente,0,0.5
C431040000014,Presente,0,5.8
S431040000001,Ausente,1.45,1.1
S431040000001,Ausente,1.35,0.6
S431040000001,Ausente,1.43,0.5
S432210000001,Ausente,1.42,0.6
S430220000001,Ausente,0.38,0.3
I432210000003,Presente,0,0.2
S432210000001,Ausente,1.39,0.8
C432210000004,Ausente,1.39,0.3
C432210000001,Ausente,0,0.2
C431930000023,Ausente,3,0.3
C431930000016,Ausente,0.14,0.5
C431930000002,Ausente,0.03,0.1
C431930000026,Ausente,0.2,0.3
C431930000012,Ausente,0.18,0.3
C431930000032,Ausente,0.44,0.4
C431930000040,Ausente,0.1,0.5
C431930000036,Ausente,0.08,0.3
C431930000011,Ausente,0.08,0.2
C431301000016,Ausente,1.2,0.1
C431301000025,Ausente,1.2,0.3
C431301000033,Ausente,0,0.1
C430430000032,Ausente,0.5,0.3
C430430000010,Ausente,0.45,0.2
C431930000007,Ausente,0.56,0.5
S430430000001,Ausente,1.7,0.2
C431930000027,Ausente,0.13,0.3
C431930000018,Ausente,0.55,0.3
S430430000001,Ausente,1.7,0.5
C431301000021,Ausente,0.61,0.2
C431301000020,Ausente,0.63,0.2
C431301000037,Ausente,0.19,0.2
C431301000017,Ausente,0.2,0.5
C431301000034,Ausente,1.2,0.1
C431301000015,Ausente,0.2,0.2
C431301000022,Ausente,1.5,0.3
C431301000038,Ausente,0,0.3
C431301000019,Presente,0.02,0.4
C431301000029,Presente,0.01,1
C431301000030,Ausente,0,0.2
C431301000023,Ausente,1.5,0.1
C431301000028,Presente,0,0.1
C431301000032,Ausente,0.79,1
C431301000031,Ausente,0,0.2
C431301000039,Ausente,0,0.3
C430430000028,Ausente,0.5,0.4
C430430000030,Ausente,0.5,0.9
C431301000018,Ausente,0.5,0.2
C431301000024,Ausente,0.2,1
C430430000029,Ausente,0.55,1.1
C430430000031,Ausente,0.55,0.9
C430430000007,Ausente,0.5,0.3
S431720000001,Ausente,0.98,0.1
S431720000001,Ausente,0.92,0.2
S431720000001,Ausente,1.05,0.1
S431720000001,Ausente,1.11,0.6
S431720000001,Ausente,1.21,0.2
C431720000023,Ausente,0.07,0.5
S431720000001,Ausente,1.15,1.2
S431720000001,Ausente,0.42,0.2
S431720000001,Ausente,0.59,0.2
S431720000001,Ausente,0.39,0.2
S431720000001,Ausente,0.5,0.2
S431720000001,Ausente,0.42,0.2
C430673000023,Ausente,0.09,0.3
S430673000001,Ausente,1.19,0.6
S430673000001,Ausente,1.09,0.1
C430673000015,Presente,0.8,0.3
C430673000009,Ausente,1.09,0.2
C430673000021,Ausente,0,0.3
S430220000001,Ausente,0.64,0.3
S430220000001,Ausente,0.48,0.3
S430220000001,Ausente,1.71,0.3
C430220000017,Ausente,0,0.3
S430220000001,Ausente,0.63,0.3
C430220000029,Ausente,0,0.2
C430220000018,Ausente,0,0.2
S430220000001,Ausente,0.76,0.5
C430220000019,Ausente,0,0.3
S430220000001,Ausente,1.15,0.3
C430220000005,Ausente,0,0.3
S430220000001,Ausente,0.51,0.2
S430220000001,Ausente,0.76,0.3
S430220000001,Ausente,0.46,0.3
S430220000001,Ausente,0.44,0.2
S430220000001,Ausente,0.31,0.3
C430220000008,Ausente,0,0.3
C430220000022,Ausente,0,0.6
C430220000021,Ausente,0,0.2
S430220000001,Ausente,0.42,0.5
C430220000016,Presente,0,0.1
S430220000001,Ausente,0.41,0.3
C430220000011,Ausente,0,0.4
C430220000010,Ausente,0,0.1
S430220000001,Ausente,0.48,0.3
S430220000001,Ausente,0.55,0.4
S430220000001,Ausente,0.35,0.6
S430220000001,Ausente,0.66,0.3
C430220000006,Ausente,0,0.4
