IBGE;LONG;LAT
431500;-55,0116;-27,8514
431505;-54,672;-27,5786
431507;-54,899;-27,7344
431510;-55,1396;-27,9057
431513;-52,2109;-29,1698
431514;-51,1816;-29,5261
431515;-52,3017;-29,2403
431517;-51,4736;-28,7567
431520;-52,1599;-28,9988
431530;-56,4536;-30,3829
431531;-52,4428;-27,8212
431532;-54,0713;-29,3519
431535;-53,0967;-28,7424
431540;-53,6419;-27,6615
431545;-52,0729;-29,1123
431550;-53,3706;-29,8139
431555;-52,8401;-27,2984
431560;-52,0868;-32,0504
431570;-52,379;-29,9856
431575;-50,4738;-29,6423
431580;-51,8639;-29,2851
431590;-53,1685;-27,4704
431595;-54,8194;-28,2563
431600;-50,5734;-29,6408
431610;-52,8065;-27,7819
431620;-52,9062;-27,8318
431630;-55,0292;-28,1354
431640;-54,9458;-30,244
431642;-53,1357;-27,7067
431643;-53,0941;-28,4033
431645;-53,2133;-29,0887
431647;-54,8377;-28,1217
431650;-51,5094;-29,4397
431660;-51,8135;-27,944
431670;-53,2505;-28,3652
431673;-51,9267;-28,1645
431675;-52,0809;-29,4636
431680;-52,4299;-29,7198
431697;-54,091;-30,3451
431690;-53,8087;-29,6856
431695;-50,9873;-29,5035
431720;-54,4782;-27,8667
431725;-51,7343;-29,1716
431730;-53,367;-33,5199
431700;-53,1159;-30,8747
431710;-55,5348;-30,8894
431740;-54,8691;-29,1915
431750;-54,2641;-28,3019
431760;-50,521;-29,832
431770;-55,2246;-28,5081
431755;-52,0246;-28,4974
431775;-52,6837;-28,3959
431780;-53,7788;-27,8535
431790;-54,6687;-27,8199
431795;-51,6436;-27,9094
431800;-56,001;-28,6628
431805;-51,8932;-28,5318
431810;-55,1324;-29,5527
431820;-50,5821;-29,4441
431830;-54,3205;-30,3368
431840;-51,7282;-29,9594
431842;-51,8258;-27,8267
431843;-53,4464;-29,6147
431844;-51,703;-28,4981
431845;-53,1188;-27,7782
431846;-52,293;-29,0414
431848;-51,2496;-29,54
431849;-54,1336;-27,7226
431850;-52,0342;-32,0206
431860;-51,5948;-27,7713
431861;-51,4864;-29,5435
431862;-50,0636;-28,7499
431870;-51,1462;-29,7659
431880;-51,9769;-31,364
431890;-54,9597;-28,4066
431900;-51,0667;-28,9698
431910;-53,9669;-27,7089
431912;-53,8542;-29,5349
431915;-54,5616;-28,5495
431920;-55,2601;-28,1822
431930;-54,9347;-28,0205
431935;-51,5143;-29,4214
431936;-53,2474;-27,7713
431937;-54,8883;-28,1244
431940;-54,18;-29,6175
431950;-51,3767;-29,5921
431960;-53,5696;-30,1674
431970;-52,5285;-27,5543
431971;-51,7697;-29,0512
431973;-53,9355;-27,7877
431975;-51,3687;-29,3758
431980;-54,676;-29,6921
431990;-51,0036;-29,6386
432000;-51,1519;-29,8249
432010;-52,9255;-27,9436
432020;-53,4055;-27,4804
432023;-53,9559;-27,6312
432026;-52,9821;-29,3426
432030;-52,9565;-28,6274
432032;-54,5454;-28,0275
432035;-51,578;-30,6133
432040;-51,9357;-28,7108
432045;-52,2675;-29,3868
432050;-52,2597;-27,9808
432055;-51,6042;-30,4654
432057;-54,4637;-28,1304
432060;-52,1207;-27,4328
432065;-53,5852;-29,6453
432067;-52,5216;-29,5291
432070;-53,0252;-29,4148
432080;-52,5099;-28,8277
432085;-51,7275;-29,6878
432090;-52,0221;-28,0842
432100;-52,8715;-28,625
432110;-51,3945;-30,6732
432120;-50,7812;-29,6505
432130;-51,8628;-29,8028
432132;-53,467;-27,398
